id,latitude,longitude,property_type,room_type,bathrooms,bedrooms,minimum_nights,price
96383,37.79176,-122.42476,Apartment,Private room,0,1,30,$59.00
99094,37.76809,-122.42439,Apartment,Entire home/apt,1,2,4,$185.00
100710,37.75629,-122.42518,Apartment,Entire home/apt,2,3,4,$450.00
102951,37.79297,-122.40664,House,Shared room,2.5,1,30,$30.00
105497,37.75754,-122.49852,House,Private room,1,1,45,$85.00
106025,37.78535,-122.41515,Apartment,Entire home/apt,2,2,30,$130.00
109883,37.73327,-122.46435,Guest suite,Entire home/apt,1,2,2,$125.00
110825,37.71549,-122.38922,House,Entire home/apt,1,2,30,$120.00
113211,37.79294,-122.40659,House,Shared room,2.5,1,30,$30.00
114401,37.76102,-122.43005,Condominium,Private room,1,1,1,$125.00
115242,37.80591,-122.4083,Condominium,Entire home/apt,1,1,30,$125.00
121065,37.77083,-122.43109,Apartment,Entire home/apt,1,1,30,$200.00
126046,37.76813,-122.44494,Apartment,Entire home/apt,1,3,30,$150.00
128230,37.75887,-122.43565,Apartment,Entire home/apt,1,1,3,$328.00
130775,37.76609,-122.45126,Apartment,Private room,4,1,32,$65.00
130805,37.75586,-122.42092,Apartment,Entire home/apt,1,1,30,$97.00
132441,37.73974,-122.42299,House,Private room,1,1,1,$69.00
134015,37.80356,-122.42589,Condominium,Entire home/apt,1,2,4,$300.00
134193,37.7806,-122.47597,House,Entire home/apt,1.5,3,4,$550.00
137129,37.7879,-122.46474,House,Entire home/apt,3.5,4,7,$594.00
137546,37.74708,-122.42456,House,Private room,1,1,30,$102.00
137672,37.76463,-122.47435,Apartment,Entire home/apt,1.5,1,30,$150.00
138592,37.75559,-122.42953,House,Entire home/apt,2,4,6,"""$1,200.00 """
138619,37.79835,-122.4042,Apartment,Entire home/apt,1,1,30,$150.00
138772,37.75823,-122.43273,House,Private room,1,1,5,$150.00
140568,37.73874,-122.41624,Apartment,Private room,1.5,1,2,$90.00
142177,37.78471,-122.48125,Condominium,Entire home/apt,1,2,4,$399.00
144978,37.79336,-122.42506,Apartment,Private room,null,1,30,$56.00
147443,37.74599,-122.44532,Apartment,Entire home/apt,1.5,2,30,$230.00
148559,37.76787,-122.43172,Apartment,Entire home/apt,1,2,5,$275.00
148627,37.80094,-122.4275,Apartment,Entire home/apt,1,1,60,$165.00
148769,37.75195,-122.44928,Apartment,Entire home/apt,1,1,30,$115.00
150347,37.76202,-122.41876,Apartment,Entire home/apt,1,2,30,$148.00
150848,37.762,-122.39391,Townhouse,Private room,1,1,3,$75.00
162934,37.77761,-122.50378,Apartment,Entire home/apt,1,1,1,$149.00
164207,37.74159,-122.46578,House,Private room,1,1,5,$69.00
166199,37.76194,-122.43239,Guesthouse,Entire home/apt,1,1,30,$220.00
166771,37.76827,-122.44678,Apartment,Entire home/apt,1,1,30,$185.00
175090,37.79018,-122.40475,Apartment,Entire home/apt,1,0,30,$110.00
175102,37.79076,-122.40403,Apartment,Entire home/apt,1,0,30,$135.00
176274,37.73143,-122.42325,House,Private room,1,1,30,$37.00
177137,37.79675,-122.40781,Apartment,Entire home/apt,1,2,30,$135.00
183859,37.73626,-122.43677,Apartment,Entire home/apt,1,2,3,$220.00
187730,37.75757,-122.41939,Apartment,Private room,2,1,29,$75.00
189068,37.73856,-122.41687,Apartment,Private room,1.5,1,2,$90.00
189894,37.80318,-122.42977,Apartment,Entire home/apt,1,1,5,$150.00
191632,37.77311,-122.44979,Guest suite,Entire home/apt,1,1,2,$138.00
199480,37.74557,-122.41187,Apartment,Private room,1.5,1,6,$80.00
201313,37.8034,-122.40485,Condominium,Entire home/apt,1,1,30,$182.00
201579,37.77756,-122.43326,Apartment,Entire home/apt,1.5,1,30,$136.00
206566,37.79507,-122.40498,House,Shared room,2.5,1,30,$30.00
206634,37.79466,-122.40523,House,Shared room,2.5,1,30,$30.00
206637,37.79291,-122.40637,House,Shared room,2.5,1,30,$30.00
207980,37.74446,-122.43776,House,Entire home/apt,1,3,2,$295.00
208727,37.78265,-122.48971,Apartment,Private room,2.5,1,30,$79.00
208831,37.80242,-122.4144,Guest suite,Entire home/apt,1,1,3,$165.00
209514,37.77118,-122.44963,House,Private room,2,1,1,$92.00
212265,37.75551,-122.40882,Condominium,Entire home/apt,2,2,5,$178.00
212783,37.77108,-122.44942,House,Private room,2,1,1,$98.00
213532,37.77085,-122.44811,House,Private room,2,1,1,$78.00
213854,37.76146,-122.43817,Apartment,Entire home/apt,2,3,30,$325.00
216042,37.74382,-122.41773,House,Entire home/apt,1,1,5,$147.00
216064,37.72652,-122.43468,House,Private room,2,1,2,$75.00
217106,37.76468,-122.44523,Apartment,Entire home/apt,1,0,30,$110.00
220418,37.77042,-122.45019,House,Private room,2,1,1,$78.00
221342,37.80281,-122.4154,Condominium,Private room,2.5,1,2,$139.00
224579,37.75632,-122.40478,House,Entire home/apt,1,1,2,$145.00
225933,37.7684,-122.43086,Apartment,Private room,1,1,3,$99.00
226594,37.76968,-122.45193,Apartment,Private room,0.5,1,1,$120.00
229240,37.79341,-122.4034,Hostel,Shared room,null,1,1,$45.00
229319,37.73819,-122.41566,Apartment,Entire home/apt,1,1,30,$135.00
231129,37.79114,-122.41029,Townhouse,Entire home/apt,4,4,2,$989.00
231752,37.75565,-122.44022,Apartment,Entire home/apt,1,1,30,$250.00
232060,37.75855,-122.46444,Guest suite,Entire home/apt,1,1,30,$99.00
238190,37.80301,-122.41581,Condominium,Private room,1,1,2,$99.00
238204,37.74174,-122.50435,Guest suite,Entire home/apt,1,1,3,$135.00
241235,37.79271,-122.40383,Hostel,Shared room,0,1,1,$45.00
242008,37.77499,-122.40635,Apartment,Entire home/apt,1,1,3,$160.00
244361,37.79532,-122.40863,Apartment,Entire home/apt,1,2,30,$135.00
245339,37.78304,-122.41942,Condominium,Entire home/apt,1,1,30,$136.00
252867,37.75889,-122.39539,Condominium,Entire home/apt,1,3,6,$280.00
256148,37.76188,-122.44215,Condominium,Private room,1,1,1,$139.00
256176,37.77579,-122.45504,Guest suite,Private room,1,1,2,$100.00
258873,37.80134,-122.40714,Apartment,Private room,1,1,2,$89.00
259621,37.7947,-122.40374,Hostel,Shared room,null,1,1,$45.00
259622,37.79441,-122.40473,Hostel,Shared room,null,1,1,$45.00
259919,37.7647,-122.45368,Apartment,Entire home/apt,1,1,30,$114.00
261358,37.78322,-122.42025,Condominium,Entire home/apt,1,0,30,$138.00
269371,37.76294,-122.43974,Apartment,Private room,1.5,1,2,$115.00
269463,37.76711,-122.45151,Apartment,Entire home/apt,1,1,2,$250.00
271602,37.77899,-122.40506,Condominium,Entire home/apt,1,1,30,$133.00
271647,37.75553,-122.50707,Apartment,Shared room,1.5,1,30,$35.00
273530,37.75612,-122.39967,Condominium,Entire home/apt,2,2,4,$325.00
274334,37.75346,-122.50358,House,Private room,1,1,3,$89.00
276072,37.76833,-122.42592,Apartment,Private room,1,1,2,$97.00
277339,37.72681,-122.43419,Guest suite,Entire home/apt,1,1,3,$110.00
279184,37.7529,-122.41553,Apartment,Entire home/apt,2,3,3,$575.00
280549,37.73773,-122.44956,House,Private room,1.5,3,1,$250.00
284117,37.74334,-122.42932,Guesthouse,Entire home/apt,1,1,30,$105.00
285499,37.76288,-122.43815,Condominium,Entire home/apt,2,2,30,$210.00
286311,37.76275,-122.44252,Condominium,Entire home/apt,2,3,4,$475.00
287907,37.73225,-122.43614,House,Entire home/apt,2,2,3,$300.00
288213,37.75971,-122.38833,Apartment,Entire home/apt,1,1,2,$190.00
292723,37.73096,-122.42378,House,Private room,1,1,30,$45.00
295240,37.76267,-122.43919,Apartment,Entire home/apt,1,1,2,$299.00
295565,37.7303,-122.42464,House,Private room,1,1,30,$30.00
306504,37.75587,-122.43602,Apartment,Entire home/apt,1,1,5,$225.00
307837,37.75131,-122.437,House,Entire home/apt,1,1,7,$159.00
308885,37.79954,-122.40679,Apartment,Entire home/apt,1,1,30,$125.00
314248,37.79026,-122.4364,House,Entire home/apt,2.5,3,7,$325.00
314368,37.80345,-122.40798,Condominium,Entire home/apt,1,2,1,$600.00
317121,37.76641,-122.44667,Apartment,Entire home/apt,1,0,30,$90.00
323635,37.72606,-122.43232,House,Private room,0.5,1,2,$48.00
325478,37.76065,-122.42414,Apartment,Entire home/apt,1,2,4,$365.00
326650,37.78633,-122.43217,Apartment,Entire home/apt,1,1,30,$139.00
329020,37.78278,-122.39337,Loft,Entire home/apt,1,1,30,$250.00
330535,37.76892,-122.44615,Apartment,Entire home/apt,1,3,30,$189.00
330736,37.76592,-122.40628,House,Entire home/apt,1,1,3,$298.00
334339,37.76295,-122.44259,Cottage,Private room,1,1,3,$99.00
334886,37.80432,-122.44601,Condominium,Private room,1,1,60,$165.00
338849,37.78525,-122.43051,Apartment,Private room,1,1,30,$99.00
342420,37.76052,-122.42939,House,Entire home/apt,2,4,4,$595.00
344621,37.72836,-122.44797,House,Private room,1,1,1,$95.00
345760,37.76479,-122.43611,Apartment,Private room,1,1,1,$119.00
348580,37.74271,-122.41955,Condominium,Entire home/apt,1,1,2,$160.00
348714,37.77307,-122.44293,Guest suite,Entire home/apt,1,1,3,$190.00
350479,37.75711,-122.40963,House,Private room,1,1,30,$83.00
351881,37.76174,-122.44339,Apartment,Private room,1,1,2,$125.00
351950,37.72965,-122.42539,House,Private room,1,1,30,$40.00
351978,37.73019,-122.42317,House,Private room,1,1,30,$45.00
352165,37.75813,-122.4355,Apartment,Entire home/apt,1,1,2,$115.00
353292,37.77093,-122.42823,Condominium,Private room,1,1,4,$90.00
361230,37.76079,-122.43447,Apartment,Entire home/apt,1,2,30,$270.00
364023,37.72636,-122.43342,Apartment,Private room,1,1,30,$85.00
364397,37.7586,-122.43332,Apartment,Private room,1.5,1,2,$95.00
366541,37.79178,-122.39502,Apartment,Entire home/apt,2,2,30,$500.00
374997,37.76055,-122.44221,Apartment,Entire home/apt,1,3,3,$549.00
377452,37.75139,-122.41194,House,Entire home/apt,1,1,31,$200.00
377569,37.75131,-122.40795,House,Private room,1,1,3,$70.00
379255,37.76588,-122.44281,House,Entire home/apt,3.5,4,5,$672.00
379349,37.76648,-122.44542,Guest suite,Entire home/apt,1,1,3,$130.00
379418,37.74587,-122.41626,House,Entire home/apt,2.5,3,4,$390.00
381217,37.74498,-122.41927,House,Private room,1,1,3,$102.00
392543,37.76196,-122.39411,Guest suite,Entire home/apt,1,1,4,$250.00
394575,37.74248,-122.41069,Apartment,Entire home/apt,1,0,6,$149.00
400433,37.76016,-122.42265,Apartment,Entire home/apt,2,2,2,$355.00
408471,37.75666,-122.43607,House,Entire home/apt,3,3,2,$700.00
409549,37.74002,-122.41813,Condominium,Entire home/apt,1.5,2,3,$169.00
409560,37.72042,-122.46914,House,Private room,1.5,1,30,$60.00
413663,37.74987,-122.44027,Apartment,Entire home/apt,2,2,30,$189.00
415498,37.79363,-122.42493,Apartment,Entire home/apt,1,1,30,$130.00
420160,37.76318,-122.40708,Apartment,Private room,1,1,3,$99.00
423063,37.77044,-122.43599,Condominium,Entire home/apt,1,1,3,$289.00
423300,37.75635,-122.40996,Guest suite,Entire home/apt,1,1,30,$119.00
424846,37.78377,-122.47522,House,Private room,1.5,1,2,$132.00
430692,37.75906,-122.40761,Apartment,Private room,null,1,31,$68.00
431632,37.78135,-122.48266,Apartment,Entire home/apt,1,1,3,$140.00
431862,37.78321,-122.41969,Apartment,Entire home/apt,1,null,30,$124.00
435389,37.79418,-122.40582,House,Shared room,2.5,1,30,$30.00
435390,37.79455,-122.406,House,Shared room,2.5,1,30,$30.00
435391,37.79478,-122.40592,House,Shared room,2.5,1,30,$30.00
437385,37.77884,-122.50535,Condominium,Private room,2,1,2,$128.00
438940,37.76003,-122.4357,Apartment,Private room,1.5,1,2,$116.00
438967,37.75941,-122.43363,Condominium,Private room,1.5,1,1,$109.00
439703,37.75978,-122.4351,Condominium,Entire home/apt,1.5,4,1,$350.00
442349,37.7748,-122.42711,Apartment,Entire home/apt,1,1,30,$250.00
442397,37.75925,-122.50893,House,Entire home/apt,2,2,4,$324.00
444675,37.74054,-122.43121,Apartment,Entire home/apt,2,3,30,$190.00
450992,37.77407,-122.4331,Apartment,Entire home/apt,1,1,30,$110.00
455783,37.75385,-122.50806,Apartment,Private room,1.5,1,30,$57.00
456568,37.77346,-122.42917,House,Private room,3,1,1,$89.00
457862,37.78101,-122.44083,House,Entire home/apt,1.5,3,3,$425.00
457986,37.72594,-122.43327,Condominium,Entire home/apt,2,2,6,$225.00
459990,37.80041,-122.41569,Serviced apartment,Hotel room,1,0,30,$148.00
465723,37.73853,-122.47166,Apartment,Entire home/apt,1,1,2,$160.00
467507,37.74687,-122.40964,Guest suite,Entire home/apt,1,1,3,$145.00
468490,37.80139,-122.41534,Condominium,Entire home/apt,2.5,4,1,$490.00
468751,37.76717,-122.42419,Apartment,Entire home/apt,1,2,3,$280.00
470686,37.76731,-122.42542,Condominium,Private room,1,1,1,$125.00
472901,37.77297,-122.40301,Apartment,Entire home/apt,1,0,31,$170.00
474001,37.79472,-122.40519,House,Shared room,2.5,1,30,$30.00
474107,37.72376,-122.42926,House,Private room,1,3,2,$90.00
479072,37.75756,-122.4364,Guest suite,Entire home/apt,1,0,1,$199.00
479415,37.73962,-122.41484,House,Entire home/apt,2,3,3,$230.00
482592,37.73429,-122.43491,House,Entire home/apt,1.5,4,2,$675.00
485286,37.73895,-122.41274,Apartment,Entire home/apt,1,2,2,$195.00
487019,37.756,-122.40022,Apartment,Entire home/apt,2,3,4,$205.00
487499,37.76099,-122.42183,Apartment,Entire home/apt,1,1,30,$125.00
488297,37.75613,-122.44066,Condominium,Private room,2,3,3,$399.00
491867,37.77296,-122.43497,Condominium,Entire home/apt,2,3,3,$375.00
491874,37.77144,-122.4347,Condominium,Private room,1,1,3,$130.00
493889,37.72872,-122.4406,Apartment,Entire home/apt,1,1,4,$225.00
494111,37.77985,-122.48478,Apartment,Entire home/apt,1,1,3,$130.00
496226,37.76197,-122.40365,Apartment,Entire home/apt,1,1,30,$170.00
499096,37.75853,-122.42387,Apartment,Entire home/apt,1,1,3,$100.00
501057,37.74946,-122.40917,House,Entire home/apt,1.5,2,3,$295.00
501770,37.77166,-122.43826,Apartment,Entire home/apt,1,1,30,$220.00
503362,37.77244,-122.43789,Apartment,Entire home/apt,2,2,30,$350.00
504146,37.80594,-122.43783,Condominium,Entire home/apt,1,0,2,$280.00
505530,37.74312,-122.40647,House,Entire home/apt,2,4,30,$275.00
505763,37.75081,-122.44524,Apartment,Entire home/apt,1,1,365,$200.00
515260,37.74395,-122.43253,House,Entire home/apt,1,2,3,$260.00
515524,37.77144,-122.44433,Apartment,Entire home/apt,1,1,30,$90.00
516836,37.75933,-122.40367,House,Private room,2,1,3,$135.00
517803,37.76794,-122.43906,Bungalow,Entire home/apt,1.5,2,5,$550.00
519796,37.80299,-122.42447,Apartment,Entire home/apt,1,1,31,$126.00
522089,37.75981,-122.42447,Apartment,Entire home/apt,1,3,3,$495.00
522273,37.73821,-122.39146,Apartment,Private room,1.5,1,30,$70.00
527226,37.72509,-122.43309,House,Private room,1,1,30,$95.00
530857,37.71725,-122.43562,House,Private room,1.5,1,7,$100.00
531151,37.73496,-122.41656,House,Entire home/apt,2.5,4,4,$449.00
533193,37.72988,-122.42673,House,Private room,1,1,30,$43.00
533627,37.76132,-122.40421,House,Entire home/apt,3,3,4,$650.00
545585,37.79709,-122.41033,Apartment,Private room,1,1,30,$140.00
545685,37.77619,-122.48231,Guest suite,Entire home/apt,1,1,1,$79.00
548232,37.79817,-122.44169,Condominium,Entire home/apt,1,3,4,"""$1,195.00 """
555596,37.74416,-122.43598,Guest suite,Entire home/apt,1,1,5,$129.00
560440,37.7605,-122.42317,Apartment,Entire home/apt,1,2,5,$220.00
561148,37.77822,-122.45813,House,Entire home/apt,2,3,3,$450.00
561602,37.74521,-122.41938,House,Private room,1,2,4,$105.00
562311,37.76149,-122.40874,Apartment,Private room,2,2,4,$103.00
562593,37.80043,-122.40543,Apartment,Entire home/apt,1,1,4,$200.00
567239,37.74472,-122.43699,House,Private room,1,1,2,$95.00
568161,37.73279,-122.43701,House,Private room,1,1,2,$68.00
571042,37.7681,-122.43972,Townhouse,Entire home/apt,2.5,3,4,$460.00
575551,37.76186,-122.4037,Apartment,Private room,1,1,3,$129.00
576018,37.75363,-122.43138,House,Entire home/apt,2.5,4,2,"""$1,000.00 """
578097,37.77053,-122.42848,Condominium,Entire home/apt,1,2,3,$280.00
580106,37.77558,-122.4406,Apartment,Private room,1,1,2,$93.00
581216,37.80172,-122.43501,Apartment,Entire home/apt,1,3,3,$139.00
582335,37.80178,-122.43719,House,Entire home/apt,3.5,4,4,"""$1,049.00 """
585225,37.74555,-122.43384,Apartment,Entire home/apt,1,1,2,$99.00
585326,37.77632,-122.48067,Guest suite,Entire home/apt,1,1,1,$69.00
587375,37.76157,-122.42186,House,Entire home/apt,1,2,2,$400.00
589676,37.75036,-122.42621,House,Private room,1,1,2,$105.00
589767,37.79648,-122.4118,Apartment,Entire home/apt,1,2,5,$295.00
591524,37.74663,-122.41696,House,Entire home/apt,1,1,3,$195.00
592883,37.75731,-122.40954,House,Private room,1,1,30,$98.00
593165,37.76613,-122.45252,Apartment,Entire home/apt,1,1,30,$121.00
593253,37.77023,-122.42957,Condominium,Private room,1.5,1,2,$95.00
596042,37.79384,-122.42436,Apartment,Private room,null,1,30,$63.00
598271,37.75943,-122.40398,House,Private room,2,1,3,$125.00
598579,37.77448,-122.43359,Apartment,Entire home/apt,1,1,30,$105.00
602036,37.77586,-122.44243,Condominium,Entire home/apt,1,3,30,$350.00
602535,37.74366,-122.42993,House,Entire home/apt,2,3,5,$975.00
604221,37.78388,-122.41661,Apartment,Entire home/apt,1,2,30,$100.00
604843,37.76024,-122.4088,Apartment,Private room,1.5,1,31,$72.00
604999,37.74748,-122.40821,Apartment,Shared room,1,1,30,$79.00
607500,37.76668,-122.45095,House,Entire home/apt,2.5,3,3,$375.00
616204,37.79527,-122.40925,Apartment,Entire home/apt,1,3,7,$450.00
616517,37.77528,-122.40772,Loft,Entire home/apt,1,1,30,$279.00
626349,37.78111,-122.40597,Condominium,Entire home/apt,1,1,30,$123.00
627358,37.74656,-122.40655,Apartment,Private room,1,1,30,$125.00
631635,37.75566,-122.43454,Condominium,Entire home/apt,1,1,30,$201.00
631658,37.75926,-122.40442,House,Private room,2,2,3,$280.00
631735,37.7371,-122.39761,House,Private room,1,1,31,$50.00
632303,37.74118,-122.43275,Apartment,Entire home/apt,1,1,30,$95.00
633629,37.73258,-122.44126,Apartment,Private room,1,1,30,$79.00
640352,37.78128,-122.40346,Loft,Entire home/apt,1,1,1,$975.00
640605,37.80392,-122.43422,Apartment,Entire home/apt,1,1,30,$145.00
640895,37.76612,-122.42771,Apartment,Entire home/apt,1.5,4,4,$500.00
642672,37.7457,-122.42423,Apartment,Entire home/apt,1,1,60,$178.00
643918,37.80031,-122.4064,Apartment,Private room,1,1,30,$130.00
644091,37.80329,-122.40708,Condominium,Entire home/apt,1,1,3,$350.00
647360,37.731,-122.47932,Apartment,Entire home/apt,1,1,1,$250.00
648086,37.74038,-122.41755,House,Private room,1,1,3,$79.00
651624,37.7351,-122.4415,House,Private room,1,1,2,$85.00
654279,37.74514,-122.40459,House,Private room,1,1,3,$90.00
654860,37.77498,-122.48287,House,Entire home/apt,3.5,5,30,$475.00
655326,37.80301,-122.40216,Apartment,Entire home/apt,2,2,30,$199.00
657121,37.80264,-122.41046,Condominium,Entire home/apt,2.5,3,2,$949.00
